title,date,section,section_name,like,comment_cnt,topic_0,topic_1,topic_2,topic_3,topic_4,dominant_topic
12월31일 아이가 어제 응급실 뺑뺑했어요,2024-01-01,1,1구간 (2024.01~03),2,146,0.29594734827666497,0.00030277455838829883,0.027655373724840688,0.6757907244298564,0.00030377901024968067,3
2024년신년사 서울아산병원장 청라 개원 관련 여러번 언급,2024-01-01,1,1구간 (2024.01~03),54,18,0.2140620167710748,0.07554622580884378,0.4207384993326922,0.0008809545656441689,0.28877230352174504,2
몇가지 이때까지의 뉴스들 생각정리 10억 순자산 20억자산가 미술품 투자수단 추세 좋은 직업도 향후 평준화될 것 자식에게 어릴때 주식을 사주는 것이 중요해지고 있음,2024-01-01,1,1구간 (2024.01~03),14,4,0.23973413378368524,0.0006354741705590554,0.0006283542041498762,0.2557425108517018,0.5032595269899041,4
부끄러운 얘기지만 치과는 여러 곳 가보세요,2024-01-01,1,1구간 (2024.01~03),6,5,0.5652936437268739,0.0010567090264988533,0.15561919415882167,0.2769593870856163,0.0010710660021893408,0
의대 증원 관련 기사입니다,2024-01-01,1,1구간 (2024.01~03),0,4,0.00644670777111887,0.8743569997203441,0.006539678810052897,0.1062291561200215,0.006427457578462604,1
의료계 충격 보건복지부 차관의 망언에 대한 전국광역시도의사회장협의회의 강력한 반발,2024-01-01,1,1구간 (2024.01~03),28,1,0.018350283705917736,0.0008932215512177389,0.8508202576563474,0.1290751274927158,0.0008611095938013667,2
입시정보 2028 대입 개편안 미적분 현 미적분 기하 수능 제외 대학별 고사 증가 예상 조선일보,2024-01-01,1,1구간 (2024.01~03),29,14,0.00105046261940179,0.7991951954301203,0.1976791578911659,0.001044660254201667,0.0010305238051104852,1
지혜로운 자는 명문대 학벌추구 하지마라 11 의약대 정원 증원하라,2024-01-01,1,1구간 (2024.01~03),9,3,0.04782273859758074,0.001553993106312688,0.001568580046469434,0.9474824302084537,0.0015722580411834442,3
2023 교육 부분 10대 뉴스 노마스크 등교 챗GPT 글로컬대학 디지털교과서 첨단학과 공교육 강화 의대 정원 증원 교권 문제 디지털 새싹 대입제도 개편,2024-01-02,1,1구간 (2024.01~03),28,4,0.10251592097275783,0.5865000085144332,0.23964575322783094,0.00034599439845813256,0.07099232288651977,1
2024 인서울 주요대학 수시전형 결과에 대한 단상 1 학생부 교과전형을 중심으로,2024-01-02,1,1구간 (2024.01~03),26,8,0.0002646587781801919,0.9915512489898957,0.00026950988374882474,0.00026786417440035715,0.0076467181737749045,1
서울대 수시 합격생 11 가 미등록,2024-01-02,1,1구간 (2024.01~03),0,12,0.16168307494162712,0.831302742266968,0.0023348352395948057,0.0023593601054658748,0.0023199874463442197,1
성균관대 약대 합격생의 개인 생기부 자료 판매 및 탐구 주제 추천,2024-01-02,1,1구간 (2024.01~03),4,1,0.13155540181650893,0.8669448750708986,0.0004971344278750831,0.0005017683494296624,0.0005008203352877398,1
수시 이젠 과감하게 상향지원하라,2024-01-02,1,1구간 (2024.01~03),104,84,0.21485691551949315,0.7818835263611014,0.001087441813631723,0.0010875613574255001,0.0010845549483484618,1
응급헬기로 서울대병원으로 이송,2024-01-02,1,1구간 (2024.01~03),56,7,0.03003626842943482,0.0012712242280557761,0.505281002866085,0.4621279638667318,0.0012835406096925609,2
의대때문에 SKY 미등록 폭발 증원되면 대입지도 완전 바뀐다,2024-01-02,1,1구간 (2024.01~03),64,32,0.012611677263756076,0.8642114222243739,0.000637277569389447,0.09023116925726807,0.03230845368521272,1
의대보다 나라를 먹여살리는 공대를,2024-01-02,1,1구간 (2024.01~03),4,2,0.31675704398882193,0.002658819246549099,0.002653151274010349,0.6192337469727397,0.058697238517878995,3
